ID,Geslacht,Leeftijd,Cijfersoort,Perioden,Ondergewicht,NormaalGewicht,Overgewicht
487,T001038,20400,1,1985X001,2.7,63.2,34.1
488,T001038,20400,1,1989X001,2.4,62,35.6
489,T001038,20400,1,1993X001,2.4,59.6,38
490,T001038,20400,1,1997X001,1.8,56.2,42
491,T001038,20400,1,2001X001,1.8,52.4,45.8
492,T001038,20400,1,2005X001,1.8,52.1,46.2
493,T001038,20400,1,2009X001,1.6,50.5,47.9
494,T001038,20400,1,2013X001,1.6,48.6,49.8
495,T001038,20400,2,1981JJ00,0.2,0.6,0.6
496,T001038,20400,2,1982JJ00,0.2,0.6,0.6
497,T001038,20400,2,1983JJ00,0.2,0.6,0.6
498,T001038,20400,2,1984JJ00,0.2,0.6,0.6
499,T001038,20400,2,1985JJ00,0.2,0.6,0.6
500,T001038,20400,2,1986JJ00,0.2,0.6,0.6
501,T001038,20400,2,1987JJ00,0.2,0.6,0.6
502,T001038,20400,2,1988JJ00,0.2,0.6,0.6
503,T001038,20400,2,1989JJ00,0.2,0.6,0.6
504,T001038,20400,2,1990JJ00,0.2,0.6,0.6
505,T001038,20400,2,1991JJ00,0.2,0.7,0.7
506,T001038,20400,2,1992JJ00,0.2,0.6,0.6
507,T001038,20400,2,1993JJ00,0.2,0.6,0.6
508,T001038,20400,2,1994JJ00,0.2,0.6,0.6
509,T001038,20400,2,1995JJ00,0.2,0.6,0.6
510,T001038,20400,2,1996JJ00,0.2,0.6,0.6
511,T001038,20400,2,1997JJ00,0.2,0.5,0.5
512,T001038,20400,2,1998JJ00,0.2,0.6,0.6
513,T001038,20400,2,1999JJ00,0.2,0.6,0.6
514,T001038,20400,2,2000JJ00,0.1,0.6,0.6
515,T001038,20400,2,2001JJ00,0.2,0.6,0.6
516,T001038,20400,2,2002JJ00,0.2,0.6,0.6
517,T001038,20400,2,2003JJ00,0.2,0.6,0.6
518,T001038,20400,2,2004JJ00,0.1,0.6,0.6
519,T001038,20400,2,2005JJ00,0.1,0.6,0.6
520,T001038,20400,2,2006JJ00,0.1,0.6,0.6
521,T001038,20400,2,2007JJ00,0.2,0.6,0.6
522,T001038,20400,2,2008JJ00,0.2,0.6,0.6
523,T001038,20400,2,2009JJ00,0.2,0.6,0.6
524,T001038,20400,2,2010JJ00,0.1,0.5,0.5
525,T001038,20400,2,2011JJ00,0.1,0.5,0.5
526,T001038,20400,2,2012JJ00,0.1,0.5,0.5
527,T001038,20400,2,2013JJ00,0.1,0.5,0.5
528,T001038,20400,2,2014JJ00,0.1,0.6,0.6
529,T001038,20400,2,2015JJ00,0.1,0.6,0.6
